,Six,ષƐiKS,"Ses - 934
Šes - 594
ča - 1352
seks -1922
Joining all with s",shakes,Ses,Sechs,Zes,Sex,Seks,Seks,Six,Sis,Seis,Seis,Seis,Sei,Şase,Gjashtë,seisear,Chwech,Exi,Šest,Šest,Šest,shest,Šest,Šesť,Šest,Šest,Shest',Sześć,Šesć,Shistʹ,Šeši,Seši,Hat,Kuusi,Kuus,chhah,chhah,chaẏa,cha,sahā,chē,āru,āṟu,āru,cha,shesh,şeş,Şaş,sita,shesh,sidisiti,Sita,Shida,mefa,,Altı,Olti,alta,Alty,Altı,Zurgaan,liù,,,yug,Sáu,Enam,Anim,Enem,h̄k,,,,
,Seven,SƐT,"set - 1222
sev - 1619
sem - 293
sed - 98
sat - 1451
sab - 514
chi -1343
s start majority, e most common vowel, set + sat show more end in t",,Sep,Sieben,Zeven,Sju,Syv,Syv,Sept,Set,Siete,Sete,Sete,Sette,Șapte,Shtatë,Seacht,Saith,Eptá,Sedem,Sedam,sedam,Sedem,Sedum,Sedem,Sedm,Sedam,Sem',Siedem,Siem,Sim,Septyni,Septiņi,Hét,Seitsemän,Seitse,sat,saat,sāta,sāta,sāta,sata,ēḍu,ēḻu,ēḷu,sāta,haft,heft,Haft,sabea,shba,sebati,Saba,Bakwai,Meje,,Yedi,Yetti,zhetinshi,Sevenedi,Jeti,Doloo,qi (chi),,shichi,chi,bảy,Tujuh,pito,pitu,se wèn,,,,
,Eight,ΩT,"ɑt - Indo Aryan and Germanic
otta
ocho
oito
otto
okt
ɑssem
voysem",aht,Ok,Acht,Acht,Åtta,Otte,Åtte,Huit,Vuit,Ocho,Oito,Oito,Otto,Opt,Tetë,Ocht,Wyth,Októ,Osem,Osam,Osam,Osem,Osum,Osem,Osm,Osam,Vosem',Osiem,Vosiem,visim,Aštuoni,Astoņi,Nyolc,Kahdeksan,Kaheksa,ath,aath,āṭa,āṭha,āṭha,aṭha,enimidi,eṭṭu,eṇṭu,ā'i,hasht,heşt,haşt,thamania,shmona,simiti,Nane,Takwas,Mẹjọ,,Sekiz,Sakkiz,seguiz,Sekiz,Segiz,Naim,bā,,haji,yeodeolb,Tám,Delapan,Walo,wolung,pæd,,,,
,Nine,NΩ,"NI -1479
nƏ-443
neif-
nuei-559
no-302
dyevit - 393
NΩ- 1498
na - 150
tes- 454
chiyo-1138",,Naŭ,Neun (nuhin),Negen,Nio,Ni,Ni,Neuf,Nou,Nueve,Nove,Nove,Nove,Nouă,Nëntë,Naonúr,Naw,Ennéa,Devet,Devet,Devet,Devet,Devet,Deväť,Devět,Devet,Devyat',Dziewięć,Dzieviać,Dev'yatʹ,Devyni,Deviņi,Kilenc,Yhdeksän,Üheksa,non,nau,naẏa,nau,na'ū,nau,tom'midi,oṉpatu,ombattu,nau,nau,neh,Nūh,tise,thesha,zet’enyi,Tisa,Tara,Mẹsan,,Dokuz,To'qqiz,toguz,Dokuz,Toguz,Yesön,jiǔ,,kyu,ahob,Chín,Sembilan,Siyam,sangang,kêā,,,,
,Ten,DƐS,"ten - 1619
dis - 310
des - 266
diyes - 559
deset - 63
dyeset - 287
das - 1320
d+e+s most common letters found across",,Dek,Zehn,Tien,Tio,Ti,Ti,Dix,Deu,Diez,Dez,Dez,Dieci,Zece,Dhjetë,Deich,Deg,Déka,deset,Deset,Deset,deset,Deset,Desať,Deset,deset,Desyat',Dziesięć,dziesiać,desyatʹ,Dešimt,Desmit,Tíz,Kymmenen,Kümme,dahh,das,daśa,dasa,dahā,dasa,padi,pattu,hattu,dasa,deh,deh,Dah,eashra,year,āsiri,Kumi,Goma,Mẹwa,,On,O'n,ten,On,On,Arav,shí,,,sib,Mười,Sepuluh,Sampu,sepuluh,s̄ib,,,,
,mother,ma,,,patrino,Mutter,moeder,mor,mor,mor,mère,mare,madre,nai,mãe,madre,mamă,nënë,Máthair,mam,mitéra,mati,majka,majka,maĭka,majka,matka,matka,majka,mat',matka,maci,maty,motina,māte,anya,äiti,ema,maa,maan,Mā,Āmā,Ā'i,Māṁ,Talli,Am'mā,tāyi,mātā,mather,dayik,modar,al'umu,aima,inati,mama,uwa,iya,,anne,Ona,anna,ejesi,ene,eej,Mǔqin,,okaasan,eomeoni,mẹ,ibu,ina,ibu,mæ̀,,,,
,father / Dad,pa,"pa - 3683
da - 1458
fa - 1643
ba - wont beat pa",,patro,Vater / papa,vader / pa,far/ papa,far,far/ papa,père,pare,padre,pai,pai,padre,Tată,babai,athair,tad,patéras,oče,otac,otac,bashta,tatko,otec,otec,otac,otets/ papa,ojciec,baćka,batʹko,tėvas,tēvs,apa,isä,isa,pee,pita / paapa,pitā,bubā,vaḍila,pitā,taṇḍri,appā,tande,pitā,pader,bav,padar,ab,abba,ābati,baba,uba,baba,,baba,ota,akeshi,kakasy,ata,aav,fùqin,,otosan,abeoji,bố,ayah,ama,bapak,ph̀x,,,,
,sister,Sis or Ses,,,fratino,Schwester,zus,syster,søster,søster,sœur,germana,hermana,irmá,irmã,sorella,sora,motra,deirfiúr,chwaer,adelfí,sestra,sestro,sestra,sestra,sestra,sestra,sestra,sestra,sestra,siostra,siastra,sestra,sesuo,māsa,nővér,sisko,õde,bhen,bahan,bōna,bahini,bahiṇa,bhaiṇa,sōdari,cakōtari,sahōdari,bahēna,khawahir,xwîşk,xoxar,ukht,ahot,ihiti,dada,yar'uwa,arabinrin,,kız kardeş,opa,karindasy,aýal dogany,bir tuugan,egch,jiě jie,,shimai,jamae,em gái,saudari,ate,mbakyu,n̂xng s̄āw,,,,
,brother,bro or bra,,,frato,Bruder,broer,bror,bror,bror,frère,germà,hermano,irmán,irmão,fratello,frate,vëlla,deartháir,brawd,adelfós,brat,brate,brat,brat,brat,brat,bratr,brate,brat,brat,brat,brat,brolis,brālis,fiú testvér,veli,vend,bhaa,bhaee,bhā'i,bhā'i,bhā'ū,bharā,sōdaruḍu,cakōtaraṉ,sahōdara,bhā'i,brothers,bira,ʙarodar,akh,akh,wenidimi,kaka,ɗan'uwa,arakunrin,,Erkek kardeş,uka,bauiri,dogan,"bayke, ini",akh,xiōngdì,,kyoudai,hyeongje,anh trai,saudara laki-laki,kapatid,sedulur,phì chāy,,,,
,uncle,,"Onkel
čača
šušu",,onklo,Onkel,oom,farbror,onkel,onkel,oncle,oncle,tío,tío,tio,zio,unchiul,xhaxhai,uncail,ewythr,theíos,stric,ujak,ujak,chicho,vujko,strýko,strýc,ujak,dyadya,wujek,dziadźka,dyadʹko,dėdė,onkulis,nagybácsi,setä,onu,chacha,chaacha,cācā,kākā,kākā,cācā,māma,māmā,cikkappa,kākā,amu,mam,amak,eamm,daud,āgotē,mjomba,kawu,aburo,,amca,amaki,agham,daýy,bayke,avga akh,shūshu,,oji,samchon,chú,paman,tiyuhin,paman,lung,,,,
,aunt,,"Tanti
aunti",,onklino,Tante,tante,moster,tante,tante,tante,tia,tía,tía,tia,zia,mătuşă,halla,aintín,modryb,theía,teta,tetka,tetka,lelya,tetka,teta,teta,tetka,tetya,ciotka,ciotka,titka,teta,tante,néni,täti,tädi,chachi,chaachee,khālā,kāki,kākū,māsi,atta,attai,cikkam'ma,kāki,amah,xaltî,xola,eama,daudet,ākisiti,shangazi,inna,anti,,hala,xola,aunt,daýza,ejeke,avga egch,āyí,,obasan,imo,dì,tante,Tiya,lik,p̂ā,,,,
,cousin,Kuzen,,,kuzo,Cousin,neef,kusin,fætter,fetter,cousin,cosí,primo,curmán,primo,cugino,văr,kushëriri,col ceathrar,cefnder,xaderfos xaderfi,bratranec,rođak,rođak,bratovched,bratučed,sesternica,bratranec,rođak,dvoyurodnyy brat,kuzyn,stryječny brat,dvoyuridnyy brat,pusbrolis,brālēns,unokatestvér,serkku,nõbu,kazan,chachera,kājina,bhatijā,culata bhā'ū athavā bahiṇa,cacērē bharā,bandhuvu,uṟaviṉar,sōdarasambandhi,pitarā'i,pasar amu,pismam,amakʙaca,abn eamin,bin daud,yakisiti,binamu,dan uwa,ibatan,,kuzen,amakivachcha,kuzin,daýy,bölö - from mother side,üyeel,biǎo gē,,itoko,sachon,anh em họ,sepupu,pinsan,sepupu,lūkphìlūkn̂xng,,,,
,Yes,ya,,,Jes,Ja,Ja,Ja,Ja,Ja,Oui,Sí,Sí,Si,Sim,SÌ,da,po,Tá,Oes,Naí,ja,Da,Da,da,Da,Áno,Ano,da,Da,Tak,tak,Tak,Taip,Jā,Igen,Joo,Jah,ha,haan/ji,hyām̐,hō,hōya,hāṁ,avunu,ām,haudu,hā,belleh,Erê,Bale,naeam,kin,āwo,Ndiyo,Ee,Bẹẹni,,Evet,Ha,ia,Hawa,Ooba,Tiimee,shì de,,hai,ye,Đúng,Ya,Oo,ya wis,chı̀,,,,
,No,no,"Na- 1626
Ni - 144
No - 2358
nye - less",,Ne,NEIN,Nee,Nej,Ingen,Nei,Non,No,No,Non,Não,NO,Nu,Nr,Níl,Nac ydw,Ochi,št,br,Ne,Ne,br,Nie,Ne,Ne,Net,NIE,niama,Nemaye,Nr,Nē,Nem,Ei,Ei,nah,nahin,nā,chaina,nāhi,na,naṁ,illai,saṁ,nā,nah,Na,Ne,la,lo,āyi,Hapana,A'a,Rara,,HAYIR,Yo'q,zhok,.Ok,Jok,Ügüi,bù,,iie,aniyo,KHÔNG,TIDAK,Hindi,Ora,lek̄h thì,,,,
