Teran,IPA Letter,Note,Pronunciation,,Word example,English,Spanish,Portuguese,czech,Russian,Polish,Other Cyrillic,Esperanto,Greek,Macedonian,Mongolian,Lithuanian,Latvian,Estonian,Hungarian,Finnish,Turkish,Albanian,Irish,Welsh,Armenian,Unifon,Vietnamese,Korean,Hindi,Bengali,Telugu,Indonesian,Tagalog,chinese pinyin,Thai,Persian,Arabic,Hebrew,Assyrian Latin,Native
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Removed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ă or ã,ə,merge into a,uh,,syrup,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ä,æ,merge into a,ae,,ant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
δ or đ or ḏ or ď,Δð ,,th (dis),,this,,,,,,,,,Δ/δ,,,,,,,,,,,,,,,,,,,,,,,,,ד,,
é ,e,into dipthong - ei,ay,,"hey, may, hay",,,,,Х,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
x or ĥ (remove probably),x,,Kh/-ch (guttural),,,-,,,,,h,,Ĥ,Χ,,,,,,,,,,,,,,,,,,,,,,,,,,,
θ or ṯ,θ ,,th (ting),,"thing, many native, arabic, and asian",,,,,Ц,,,,θ,,,,,,,,,,,,,,,,,,,,,,,,,ת,,
Ц or צ or c,t͜s,,ts,,,c,,,,,C,ц,C,,ц,,,,,,,,,,,,,,,,,,,,つ,,,,צץ,,
ü ,y,,ew; just use yu,,few,,,,,,,,,,,,,ū,ü,,,,,,,,,,,,,,,,,,,,,,
