Grammar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pronouns - first,mi,,,,"I, me, we, us, myself, ourself","mi, ni","ich, mich, mir, mein, unser, wir, uns","ik, mij, wij, ons",many,,,"mien, notre",,"yo, mi, me, conmigo","eu, me, mim, nos",many,,,,"me, muid,sinn",,,,,,,,,,,many,many,,many,,,complicated,,,,,,many,many,,mi,many,,complicated,,,man,,,many,,many,complicated,,,ben,"men, biz, ",,,,,wo,many,na,"toi, ta, tao, minh","aku, saya, kami, kita","ako, kami","aku, kula",
pronouns - second,tu,,,,you,vi,"du, dich, dir, dein, euer","jij, jou, u, ",many,,,"tien, votre",,"tu, vos, ti, te, vosotros","tu, te, ti, vos",many,,,,"tu, tusa, sibh",,,,,,,,,,,many,many,,many,,,complicated,,,,,,many,many,,tu,many,,complicated,,,to,,,many,,,complicated,,,sen,"sen, sizlar",,,,,"ni, nin",many,neo,"may, mi","kamu, kau, kalian","ikah, kayo",kowe,
pronouns - third,ta,,,,"he, him, her, it, they","li, ŝi, ĝi, ili","er, es, sie, ihm, ihr, sein, ihrer","hij, hem, haar,zij, ze",many,,,"sien, leur",,"el, ella, lo, le","ele, ela, o",many,,,,"se/si, siad",,,,,,,,,,,many,many,,many,,,complicated,,,,,,many,many,,"to, ti, te",many,,complicated,,,u,,,many,,,complicated,,,o,"u, ular",,,,,ta,many,geu,no,"beliau, mereka","siya, sila",dhèwèké/wongé ,
adverbs,,,,,-ly typically,-e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-ku, -ni",,,,,,
Verb,All verbs are active infinitive modified by adverbs,,,"-i - 132
-r - 1212
-k - 190
-n - 163
-lai - 992
","to, are/be, is before word",-i,-en,-en,att <word>,,,"-er, -ir",,"-er, -ar","-er, -ir, -ar",-re,,,,none,,,,,,,,,,,t',k,,-y(i),,,,,,,,,"ke, ke lie",multiple vowel,,"-e, -i",la'ī,,any vowel,,,brai <word>,,,li-,,,ku-,,,"-ek, -ak",-k sound,,,,,unique word,unique word,-da,unique word,untuk <word>,unique word,kanggo <word>,
,"active infinitive and simple, tensless, no plural",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Questions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,kaun,,,kaun,who is,kiu estas.,Wer ist.,wie is.,vem är.,,,qui est.,,quién es.,quem é.,chi è.,,,,cé hé.,,,,,,,,,,,kto.,kto jest.,,khto ye.,,,,,,,Kas yra.,kurš ir.,kaun hai.,Kē.,,Kōṇa āhē.,Kauṇa hai.,,Yār.,,,cheh cassie ist.,,,aladhi hu.,,,ni nani.,,,kim.,kim.,,,,,Shéi shì.,dare desu .,nugu-ibnikka?,ai là.,siapa yang.,sino.,sapa iku.,
,keiya,,,keiya,what is,kio estas.,was ist.,wat is.,vad är.,,,qu'est-ce que.,,qué es.,o que é.,cosa è.,,,,Cád é.,,,,,,,,,,,chto takoye.,co jest.,,shcho.,,,,,,,kas yra.,kas ir.,kya hai.,Ki.,,Kāya āhē.,Kī hai.,,Eṉṉa.,,,ain chiheh,,,ma hu.,,,nini.,,,nedir.,nima bu.,,,,,Shénme shì.,nani desu .,mueos-ingayo.,là gì.,apa.,ano ang.,apa.,
,kad,,,kad,when is,kiam estas.,wann ist.,wanneer is.,när är.,,,quand est.,,cuando es.,Quando é.,quando è.,,,,cathain atá.,,,,,,,,,,,kogda.,kiedy jest.,,koly tse.,,,,,,,kada.,kad ir.,kab hai.,Yakhana.,,Kadhī āhē.,Kadōṁ hai.,,Eppōtu.,,,cheh zamani ist.,,,eindama yakunu.,,,lini.,,,ne zaman.,qachon.,,,,,Shénme shíhòu.,i tsu desu .,ttaeida.,khi nào.,kapan.,kailan ang.,kapan iku.,
,kaha,"kaha <be, are verb, high priority> tu ka",,kaha,where is,kie estas.,wo ist.,waar is.,var är.,,,où est.,,dónde es.,Onde é.,Dov'è.,,,,Cá bhfuil.,,,,,,,,,,,gde.,gdzie jest.,,de.,,,,,,,kur yra.,kur ir.,kahaan hai.,Kōthāẏa,,Kuṭhē āhē.,Kithē vē.,,Eṅkē uḷḷatu.,,,kaja.,,,ayn hu.,,,iko wapi.,,,nerede.,qayerda.,,,,,Nǎlǐ.,doko desu ka .,eodie.,ở đâu.,dimana.,nasaan ang.,ngendi.,
,kiyun,,,kiyun,why is,kial estas.,warum ist.,waarom is.,varför är.,,,pourquoi est-ce.,,por que es.,por que é.,perché è.,,,,cén fáth go bhfuil.,,,,,,,,,,,pochemu.,dlaczego jest.,,chomu tse.,,,,,,,kodėl.,kāpēc ir.,kyon.,kēna.,,Kā āhē.,Ki'uṁ hai.,,Ēṉ.,,,chara hasti,,,limadha.,,,kwa nini.,,,neden ki.,nima uchun.,,,,,Wèishéme shì.,naze desu ka .,waeyo?,tại sao lại là.,kenapa.,bakit.,kok dadi.,
,keisa,,,keisa,how is,kiel estas.,wie ist.,hoe is.,hur är.,,,comment est.,,cómo es.,como é.,com'è.,,,,Conas atá.,,,,,,,,,,,kak.,jak jest.,,yak.,,,,,,,kaip yra.,kā ir.,kaisa hai.,Kibhābē.,,Kasē āhē.,Kivai hai.,,Eppaṭi irukkiṟatu.,,,chatoor ist.,,,kayf hu.,,,vipi.,,,nasıl.,qanday.,,,,,Zěnme.,dou desu ka .,eottae.,thế nào là.,bagaimana.,paano na.,piye carane.,
,kwal,,,kwal,which is,kiu estas.,welches ist.,dat is.,vilket är.,,,lequel est.,,cual es.,qual é.,che è.,,,,a bhfuil.,,,,,,,,,,,kotoryy.,który jest.,,yakyy ye.,,,,,,,kuris yra.,kurš ir.,jo hai.,Yā halō.,,Jē āhē.,Jō ki hai.,,Etu.,,,kah hast.,,,aldhdhy.,,,ambayo ni.,,,hangisi.,qaysi.,,,,,Zhè shì.,?,jeug.,đó là.,yang.,which is.,yaiku.,
Question Particle,ka,mi shwa leingwa de ard. tu shwa leingwa de ard ka?,,"ka, ne, ma. ka is more simple. ",interogative and any question,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
preposition,"simple ones: at, in, on, by, for, from",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,spanish is fairly simple,,,vers,toward,al,zu,richting,mot,,,vers,,hacia,na direção,verso,,,,i dtreo,,,,,,,,,,,k,w kierunku,,nazustrich,,,,,,,link,virzienā,kee or,Dikē,,Diśēnē,Vala,,Nōkki,,,jahat,,,biatijah,,,kuelekea,,,karşı,tomon,,,,,Cháoxiàng,ni mukatsu te,~ eul hyanghayeo,theo hướng,ke arah,patungo sa,marang,
,,,,????,instead,anstataŭ,stattdessen,in plaats van,istället,,,plutôt,,en cambio,em vez de,Invece,,,,ina ionad,,,,,,,,,,,vmesto,Zamiast,,zamistʹ tsʹoho,,,,,,,vietoj to,vietā,bajaay,paribartē,,tyā'aivajī,isadī bajā'ē,,patilāka,,,awzan,,,bdlaan min,,,badala yake,,,yerine,o'rniga,,,,,fǎn'ér,sono kawari ni,daesin-e,thay vì,alih-alih,sa halip,kanggo ngganti,
,,,,"antes, kabal, agei",before,antaŭ,Vor,voor,innan,,,avant,,antes,antes,Prima,,,,roimh,,,,,,,,,,,do,zanim,,ranishe,,,,,,,prieš,pirms tam,pahale,āgē,,ādhī,agē,,muṉ,,,qabal,,,qabl,,,kabla,,,önce,oldin,,,,,qián,izen wa,~ jeon-e,trước,sebelum,dati,sadurunge,
,,,,fùjìn,nearby,apud,nahe,dichtbij,närliggande,,,proche,,cercano,próximo,nelle vicinanze,,,,in aice láimhe,,,,,,,,,,,ryadom,w pobliżu,,poruch,,,,,,,netoliese,tuvumā,aas-paas,kāchākāchi,,javaḷapāsa,nēṛē,,arukil,,,nazdeeki,,,mujawir,,,karibu,,,yakında,yaqin,,,,,fùjìn,moyori,gakkaun,gần đó,di dekat sini,malapit,cedhak,
,,,,"par, at",at,ĉe,bei,bij,på,,,à,,en,no,A,,,,ag,,,,,,,,,,,v,Na,,v,,,,,,,adresu,plkst,par,ē,,yēthē,tē,,maṇikku,,,dar,,,fi,,,katika,,,en,da,,,,,zài,de,~e,Tại,pada,sa,ing,
,,,,,around,ĉirkaŭ,um,rondom,runt,,,autour,,alrededor,em volta,in giro,,,,thart,,,,,,,,,,,vokrug,wokół,,navkolo,,,,,,,aplinkui,apkārt,aas-paas,kāchākāchi,,sumārē,ālē-du'ālē,,cuṟṟi,,,atraf,,,hawl,,,karibu,,,etrafında,atrofida,,,,,dàyuē,koro,yag,xung quanh,sekitar,sa paligid,watara,
,,,,"por, kwa, dvaar",by,de,von,door,förbi,,,par,,por,por,di,,,,le,,,,,,,,,,,k,przez,,za,,,,,,,pateikė,autors,dvaara,dbārā,,dvārē,nāla,,mūlam,,,tawsat,,,biwasita,,,kwa,,,ile,tomonidan,,,,,jīngguò,niyotte,~e uihae,qua,oleh,sa pamamagitan ng,dening,
,,,,duraun,during,dum,während,tijdens,under,,,pendant,,durante,durante,durante,,,,le linn,,,,,,,,,,,v techeniye,podczas,,protyahom,,,,,,,metu,laikā,dauraan,samaẏa,,daramyāna,daurāna,,pōtu,,,dar,,,khilal,,,wakati,,,sırasında,davomida,,,,,qíjiān,naka,~ dong-an,trong lúc,selama,habang,sak,
,,,,sens,since,ekde,seit,sinds,eftersom,,,depuis,,desde,desde,Da,,,,ó shin,,,,,,,,,,,s,od,,oskilʹky,,,,,,,nuo,kopš,tab se,thēkē,,pāsūna,tōṁ,,iruntu,,,az,,,mundh,,,tangu,,,o zamandan beri,beri,,,,,zìcóng,kara,~buteo,từ,sejak,mula noong,wiwit,
,,,,? confused with de,from,el,aus,van,från,,,depuis,,de,de,da,,,,ó,,,,,,,,,,,ot,z,,vid,,,,,,,iš,no,se,thēkē,,pāsūna,tōṁ,,iruntu,,,az,,,man,,,kutoka,,,itibaren,dan,,,,,cóng,sashidashin,~eseo,từ,dari,mula sa,saka,
,,,,"andar, enen, dentro, en",inside,en,innen,binnen,inuti,,,à l'intérieur,,adentro,dentro,dentro,,,,istigh,,,,,,,,,,,vnutri,wewnątrz,,vseredyni,,,,,,,viduje,iekšā,andar,bhitarē,,āta,adara,,uḷḷē,,,dakhil,,,dakhil,,,ndani,,,içeri,ichida,,,,,lǐmiàn,naka ni,naebue,bên trong,di dalam,sa loob,ing njero,
,,,,aut,outside,ekster,draußen,buiten,utanför,,,dehors,,afuera,fora,al di fuori,,,,amuigh,,,,,,,,,,,snaruzhi,poza,,nazovni,,,,,,,lauke,ārpusē,baahar,bā'irē,,bāhēra,bāhara,,veḷiyē,,,kharej,,,alkharij,,,nje,,,dıştan,tashqarida,,,,,wàibù,gai,bakk-ui,ngoài,di luar,sa labas,njaba,
,,,,???,until,ĝis,bis,tot,fram tills,,,jusqu'à,,hasta,até,Fino a,,,,go dtí,,,,,,,,,,,do,dopóki,,poky,,,,,,,iki,līdz,jab tak,paryanta,,paryanta,jada taka,,varai,,,ta,,,hataa,,,mpaka,,,değin,qadar,,,,,zhídào,made,~kkaji,cho đến khi,sampai,hanggang sa,nganti,
,,,,"entrei, untar",among,inter,unter,te midden van,bland,,,parmi,,entre,entre,tra,,,,i measc,,,,,,,,,,,sredi,wśród,,sered,,,,,,,tarp,starp,ke beech,madhyē,,madhyē,vicakāra,,mattiyil,,,mian,,,dimn,,,miongoni mwa,,,arasında,orasida,,,,,zhī zhōng,ma,~ jung-e,giữa,di antara,kabilang sa,antarane,
,,,,kontra,against,kontraŭ,gegen,tegen,mot,,,contre,,contra,contra,contro,,,,in aghaidh,,,,,,,,,,,protiv,przeciwko,,proty,,,,,,,prieš,pret,khilaaf,birud'dhē,,virud'dha,virudha,,etirāka,,,barabar,,,dida,,,dhidi ya,,,aykırı,qarshi,,,,,fǎnduì,ni sakaratsu te,~e majseo,chống lại,melawan,laban sa,nglawan,
,,,,eksept,except for,krom,ausser für,behalve voor,Förutom,,,à l'exception de,,excepto por,exceto por,eccetto per,,,,seachas,,,,,,,,,,,za isklyucheniyem,z wyjątkiem,,okrim,,,,,,,išskyrus,izņemot,ke alaava,chāṛā,,vagaḷatā,nū chaḍa kē,,tavira,,,bah jaz,,,maeidan,,,isipokuwa kwa,,,dışında,dan tashqari,,,,,chúle,tadashi 、,je-oehago,ngoại trừ,kecuali,maliban sa,kajaba kanggo,
,,,,"mit, con",with,kun,mit,met,med,,,avec,,con,com,con,,,,le,,,,,,,,,,,s,z,,z,,,,,,,su,ar,saath,saṅgē,,saha,nāla,,uṭaṉ,,,ba,,,mae,,,na,,,ile,bilan,,,,,hé,de,~wa hamkke,với,dengan,kasama,karo,
,akord,,,akord,according to,laŭ,entsprechend,volgens,enligt,,,selon,,de acuerdo a,de acordo com,secondo,,,,de réir,,,,,,,,,,,v sootvetstvii s,według,,vidpovidno do,,,,,,,pagal,saskaņā ar,ke anusaar,anusārē,,tyānusāra,isadē anusāra,,paṭi,,,tabaq,,,wafq,,,kulingana na,,,buna göre,ga binoan,,,,,gēnjù,kii ta tokoro de wa,~e ttaleumyeon,dựa theo,berdasarkan,ayon kay,miturut,
,,,,apeisar,despite,malgraŭ,trotz,ondanks,trots,,,malgré,,a pesar de,apesar de,nonostante,,,,ainneoin,,,,,,,,,,,nesmotrya na,pomimo,,nezvazhayuchy na,,,,,,,nepaisant,neskatoties uz to,isake baavajood,sattbē'ō,,asūnahī,dē bāvajūda,,iruntālum,,,ragham,,,bialraghm min,,,licha ya,,,aksine,qaramay,,,,,jǐnguǎn,ni mo kakawara zu,~edo bulguhago,cho dù,meskipun,sa kabila,senadyan,
,kay,,,"dan, que",than,ol,als,dan,än,,,que,,que,que,di,,,,ná,,,,,,,,,,,chem,niż,,nizh,,,,,,,nei,nekā,bajaay,cēẏē,,pēkṣā,nālōṁ,,viṭa,,,az,,,man,,,kuliko,,,hariç,dan,,,,,bǐ,yori,~boda,hơn,dibandingkan,kaysa sa,tinimbang,
,,,,medel,by means of,per,mittels,door middel van,medelst,,,au moyen de,,por medio de,por meio de,per mezzo di,,,,trí bhíthin,,,,,,,,,,,posredstvom,za pomocą,,za dopomohoyu,,,,,,,pasitelkiant,izmantojot,ke maadhyam se,upāẏē,,artha,dē zarī'ē,,mūlam,,,ba stefade az,,,ean tariq,,,kwa njia ya,,,aracılığıyla,orqali,,,,,jièzhù yú,niyotte,~eul tonghae,bằng cách,melalui,sa pamamagitan ng,kanthi cara,
,,,,"maiyor, grait",greater than,plus,größer als,groter dan,större än,,,plus grand que,,mas grande que,Maior que,più grande di,,,,Níos fearr ná,,,,,,,,,,,bol'she chem,Lepszy niż,,bilʹsh chym,,,,,,,geresnis negu,lielāks nekā,se adhik,apēkṣā br̥hattara,,yā pēkṣā mōṭhē,vadha,,viṭa periyatu,,,bzrgtr az,,,akthar min,,,kubwa kuliko,,,daha büyük,dan kattaroq,,,,,bǐ... Gèng bàng,yori ookii,~boda keun,lớn hơn,lebih besar dari,mahigit sa,ngungkuli,
,,,,depos,after,post,nach,na,efter,,,après,,después,depois,Dopo,,,,tar éis,,,,,,,,,,,posle,Po,,pislya,,,,,,,po to,pēc,baad,parē,,nantara,bā'ada,,piṟaku,,,pas,,,baed,,,baada ya,,,sonrasında,keyin,,,,,hòu,go,~ hue,sau đó,setelah,pagkatapos,sawise,
,,,,???,at the rate of,po,mit der Rate von,tegen het tarief van,med en hastighet av,,,À cette vitesse,,al ritmo de,à taxa de,al tasso di,,,,de réir ráta,,,,,,,,,,,v razmere,w tempie,,v rozmiri,,,,,,,kursu,ar ātrumu,kee dar se,ēra hārē,,cyā darānē,dī dara'tē,,eṉṟa vikitattil,,,ba narakh,,,bimueadal,,,kwa kiwango cha,,,oranında,darajasida,,,,,yǐ,no rate de,ui biyullo,với tỷ lệ,pada tingkat,sa puntos ng,ing tingkat saka,
,,,,nɑm,on behalf of,por,im Namen von,namens,på uppdrag av,,,au nom de,,a nombre de,em nome de,per conto di,,,,ar son,,,,,,,,,,,ot imeni,w imieniu,,vid imeni,,,,,,,vardu,vārdā,kee or se,pakṣē,,cyā vatīnē,isa tarafōṁ,,cārpil,,,az taraf,,,biasm,,,Kwa niaba ya,,,Adına,Nomidan,,,,,dàibiǎo,wa daihyou shi te,daesin-e,thay mặt cho,atas nama,sa ngalan ng,"miturut, nurut, konjuk ing, konjuk ing asma",
,,,,??,beyond,preter,darüber hinaus,voorbij,bortom,,,au-delà,,más allá de,além,al di là,,,,thall,,,,,,,,,,,vne,poza,,poza mezhamy,,,,,,,toliau,tālāk,aage,tāra parē'ō,,palīkaḍē,parē,,appāl,,,frotter,,,wara',,,zaidi,,,öte,tashqari,,,,,chāoguò,ien,geu neomeoe,vượt ra,di luar,lampas,ngluwihi,
,,,,??,about,pri,um,over,handla om,,,à propos,,acerca de,sobre,Di,,,,faoi,,,,,,,,,,,o,o,,pryblyzno,,,,,,,apie,par,ke baare mein,samparkita,,baddala,bārē,,paṟṟi,,,moored,,,ean,,,kuhusu,,,hakkında,haqida,,,,,guānyú,nikaeshite wa,~e daehan,Về,tentang,tungkol sa,babagan,
,,,,"porkei, karen",because,pro,Weil,omdat,därför att,,,parce que,,porque,porque,Perché,,,,mar,,,,,,,,,,,potomu chto,ponieważ,,oskilʹky,,,,,,,nes,jo,kyonki,kāraṇa,,kāraṇa,ki'uṅki,,ēṉeṉil,,,dalil,,,li'ana,,,kwa sababu,,,Çünkü,chunki,,,,,yīnwèi,toiu no wa,waenyahamyeon,bởi vì,Karena,kasi,amarga,
,,,,na <word for with>,without,sen,ohne,zonder,utan,,,sans,,sin,sem,senza,,,,sin,,,,,,,,,,,bez,bez,,bez,,,,,,,be,bez,bina,chāṛā,,śivāya,binā,,illāmal,,,bedon,,,bidun,,,bila,,,olmadan,holda,,,,,méiyǒu,nashi,eobs-i,không có,tanpa,wala,tanpa,
,,,,nichei?,below,sub,unten,onderstaand,Nedan,,,ci-dessous,,abajo,abaixo,sotto,,,,thíos,,,,,,,,,,,nizhe,poniżej,,nyzhche,,,,,,,žemiau,zemāk,neeche,nicē,,khālī,hēṭhāṁ,,kīḻē,,,zir,,,aqalu,,,chini,,,altında,quyida,,,,,yǐxià,ika ni,alaee,dưới,di bawah,sa ibaba,ngisor,
,,,,ni (japanese + russian),upon,sur,auf,bij,på,,,sur,,al,sobre,su,,,,ar,,,,,,,,,,,na,od,,na,,,,,,,ant,uz,oopar,upara,,vara,utē,,mītu,,,bour,,,ealaa,,,juu ya,,,üzerine,ustiga,,,,,zhī shàng,ni,...e,trên,pada,sa,marang,
,,,,,above,super,über,boven,ovan,,,au-dessus de,,arriba,acima,Sopra,,,,os cionn,,,,,,,,,,,vyshe,powyżej,,vyshche,,,,,,,aukščiau,virs,oopar,uparē,,vara,upara,,mēlē,,,balla,,,fawq,,,juu,,,üstünde,yuqorida,,,,,duō yú,ue,~ wie,bên trên,di atas,sa itaas,ndhuwur,
,,,,atrav,through,tra,durch,door,genom,,,à travers,,a través de,através,Attraverso,,,,tríd,,,,,,,,,,,cherez,Poprzez,,cherez,,,,,,,per,cauri,ke maadhyam se,mādhyama,,mādhyamātūna,du'ārā,,mūlam,,,through,,,khilal,,,kupitia,,,başından sonuna kadar,orqali,,,,,tōngguò,tsuuji te,~eul tonghae,bởi vì,melalui,sa pamamagitan ng,liwat,
,,,,"over, travers",across,trans,über,over,tvärs över,,,à travers,,al otro lado de,entre,attraverso,,,,trasna,,,,,,,,,,,cherez,przez,,poperek,,,,,,,skersai,pāri,aar-paar,juṛē,,ōlāṇḍūna,pāra,,muḻuvatum,,,sarasar,,,eyr,,,hela,,,karşısında,bo'ylab,,,,,chuānguò,yokogitsu te,galojilleo,sang,lintas,sa kabila,nyabrang,
