,Six,sheīks,"Ses - 934
Šes - 594
ča - 1352
seks -1922
Joining all with s",shakes,Ses,Sechs,Zes,Sex,Seks,Seks,Six,Sis,Seis,Seis,Seis,Sei,Şase,Gjashtë,seisear,Chwech,Exi,Šest,Šest,Šest,shest,Šest,Šesť,Šest,Šest,Shest',Sześć,Šesć,Shistʹ,Šeši,Seši,Hat,Kuusi,Kuus,chhah,chhah,chaẏa,cha,sahā,chē,āru,āṟu,āru,cha,shesh,şeş,Şaş,sita,shesh,sidisiti,Sita,Shida,mefa,,Altı,Olti,alta,Alty,Altı,Zurgaan,liù,,yug,Sáu,Enam,Anim,Enem,h̄k,,,,
,Seven,set,"set - 1222
sev - 1619
sem - 293
sed - 98
sat - 1451
sab - 514
chi -1343
s start majority, e most common vowel, set + sat show more end in t",,Sep,Sieben,Zeven,Sju,Syv,Syv,Sept,Set,Siete,Sete,Sete,Sette,Șapte,Shtatë,Seacht,Saith,Eptá,Sedem,Sedam,sedam,Sedem,Sedum,Sedem,Sedm,Sedam,Sem',Siedem,Siem,Sim,Septyni,Septiņi,Hét,Seitsemän,Seitse,sat,saat,sāta,sāta,sāta,sata,ēḍu,ēḻu,ēḷu,sāta,haft,heft,Haft,sabea,shba,sebati,Saba,Bakwai,Meje,,Yedi,Yetti,zhetinshi,Sevenedi,Jeti,Doloo,qī (chi),shichi,chi,bảy,Tujuh,pito,pitu,se wèn,,,,
,Eight,ɑt,"ɑt - Indo Aryan and Germanic
otta
ocho
oito
otto
okt
ɑssem
voysem",aht,Ok,Acht,Acht,Åtta,Otte,Åtte,Huit,Vuit,Ocho,Oito,Oito,Otto,Opt,Tetë,Ocht,Wyth,Októ,Osem,Osam,Osam,Osem,Osum,Osem,Osm,Osam,Vosem',Osiem,Vosiem,visim,Aštuoni,Astoņi,Nyolc,Kahdeksan,Kaheksa,ath,aath,āṭa,āṭha,āṭha,aṭha,enimidi,eṭṭu,eṇṭu,ā'ī,hasht,heşt,haşt,thamania,shmona,simiti,Nane,Takwas,Mẹjọ,,Sekiz,Sakkiz,seguiz,Sekiz,Segiz,Naim,bā,haji,yeodeolb,Tám,Delapan,Walo,wolung,pæd,,,,
,Nine,nīn,"nin -1599+273
novi - 893
dyevit - 393
nau- 1022
na - 150
tes- 454
chiyo-1138",,Naŭ,Neun,Negen,Nio,Ni,Ni,Neuf,Nou,Nueve,Nove,Nove,Nove,Nouă,Nëntë,Naonúr,Naw,Ennéa,Devet,Devet,Devet,Devet,Devet,Deväť,Devět,Devet,Devyat',Dziewięć,Dzieviać,Dev'yatʹ,Devyni,Deviņi,Kilenc,Yhdeksän,Üheksa,non,nau,naẏa,nau,na'ū,nau,tom'midi,oṉpatu,ombattu,nava,nah,neh,Nūh,tise,thesha,zet’enyi,Tisa,Tara,Mẹsan,,Dokuz,To'qqiz,toguz,Dokuz,Toguz,Yesön,jiǔ,kyu,ahob,Chín,Sembilan,Siyam,sangang,kêā,,,,
,Ten,des,"ten - 1619
dis - 310
des - 266
diyes - 559
deset - 63
dyeset - 287
das - 1320",,Dek,Zehn,Tien,Tio,Ti,Ti,Dix,Deu,Diez,Dez,Dez,Dieci,Zece,Dhjetë,Deich,Deg,Déka,deset,Deset,Deset,deset,Deset,Desať,Deset,deset,Desyat',Dziesięć,dziesiać,desyatʹ,Dešimt,Desmit,Tíz,Kymmenen,Kümme,dahh,das,daśa,dasa,dahā,dasa,padi,pattu,hattu,dasa,deh,deh,Dah,eashra,year,āsiri,Kumi,Goma,Mẹwa,,On,O'n,ten,On,On,Arav,shí,,sib,Mười,Sepuluh,Sampu,sepuluh,s̄ib,,,,
,One hundred,,,,Cent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,One Thousand,,,,mil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Twelve,Dudas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Two hundred and twenty two,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"three thousand, three hundred and three",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,four million,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,mother,ma,,,patrino,Mutter,moeder,mor,mor,mor,mère,mare,madre,nai,mãe,madre,mamă,nënë,Máthair,mam,mitéra,mati,majka,majka,maĭka,majka,matka,matka,majka,mat',matka,maci,maty,motina,māte,anya,äiti,ema,maa,maan,Mā,Āmā,Ā'ī,Māṁ,Talli,Am'mā,tāyi,mātā,mather,dayik,modar,al'umu,aima,inati,mama,uwa,iya,,anne,Ona,anna,ejesi,ene,eej,Mǔqīn,okaasan,eomeoni,mẹ,ibu,ina,ibu,mæ̀,,,,
,father / Dad,pa,"pa - 3683
da - 1458
fa - 1643
ba - wont beat pa",,patro,Vater / papa,vader / pa,far/ papa,far,far/ papa,père,pare,padre,pai,pai,padre,Tată,babai,athair,tad,patéras,oče,otac,otac,bashta,tatko,otec,otec,otac,otets/ papa,ojciec,baćka,batʹko,tėvas,tēvs,apa,isä,isa,pee,pita / paapa,pitā,bubā,vaḍīla,pitā,taṇḍri,appā,tande,pitā,pader,bav,padar,ab,abba,ābati,baba,uba,baba,,baba,ota,akeshi,kakasy,ata,aav,fùqīn,otosan,abeoji,bố,ayah,ama,bapak,ph̀x,,,,
,sister,Sis or Ses,,,fratino,Schwester,zus,syster,søster,søster,sœur,germana,hermana,irmá,irmã,sorella,sora,motra,deirfiúr,chwaer,adelfí,sestra,sestro,sestra,sestra,sestra,sestra,sestra,sestra,sestra,siostra,siastra,sestra,sesuo,māsa,nővér,sisko,õde,bhen,bahan,bōna,bahinī,bahīṇa,bhaiṇa,sōdari,cakōtari,sahōdari,bahēna,khawahir,xwîşk,xoxar,ukht,ahot,ihiti,dada,yar'uwa,arabinrin,,kız kardeş,opa,karindasy,aýal dogany,bir tuugan,egch,jiě jie,shimai,jamae,em gái,saudari,ate,mbakyu,n̂xng s̄āw,,,,
,brother,bro or bra,,,frato,Bruder,broer,bror,bror,bror,frère,germà,hermano,irmán,irmão,fratello,frate,vëlla,deartháir,brawd,adelfós,brat,brate,brat,brat,brat,brat,bratr,brate,brat,brat,brat,brat,brolis,brālis,fiú testvér,veli,vend,bhaa,bhaee,bhā'i,bhā'i,bhā'ū,bharā,sōdaruḍu,cakōtaraṉ,sahōdara,bhā'ī,brothers,bira,ʙarodar,akh,akh,wenidimi,kaka,ɗan'uwa,arakunrin,,Erkek kardeş,uka,bauiri,dogan,"bayke, ini",akh,xiōngdì,kyoudai,hyeongje,anh trai,saudara laki-laki,kapatid,sedulur,phī̀ chāy,,,,
,uncle,,"Onkel
čača
šušu",,onklo,Onkel,oom,farbror,onkel,onkel,oncle,oncle,tío,tío,tio,zio,unchiul,xhaxhai,uncail,ewythr,theíos,stric,ujak,ujak,chicho,vujko,strýko,strýc,ujak,dyadya,wujek,dziadźka,dyadʹko,dėdė,onkulis,nagybácsi,setä,onu,chacha,chaacha,cācā,kākā,kākā,cācā,māma,māmā,cikkappa,kākā,amu,mam,amak,eamm,daud,āgotē,mjomba,kawu,aburo,,amca,amaki,agham,daýy,bayke,avga akh,shūshu,oji,samchon,chú,paman,tiyuhin,paman,lung,,,,
,aunt,,"Tanti
aunti",,onklino,Tante,tante,moster,tante,tante,tante,tia,tía,tía,tia,zia,mătuşă,halla,aintín,modryb,theía,teta,tetka,tetka,lelya,tetka,teta,teta,tetka,tetya,ciotka,ciotka,titka,teta,tante,néni,täti,tädi,chachi,chaachee,khālā,kākī,kākū,māsī,atta,attai,cikkam'ma,kākī,amah,xaltî,xola,eama,daudet,ākisiti,shangazi,inna,anti,,hala,xola,aunt,daýza,ejeke,avga egch,āyí,obasan,imo,dì,tante,Tiya,lik,p̂ā,,,,
,cousin,Kuzen,,,kuzo,Cousin,neef,kusin,fætter,fetter,cousin,cosí,primo,curmán,primo,cugino,văr,kushëriri,col ceathrar,cefnder,xaderfos xaderfi,bratranec,rođak,rođak,bratovched,bratučed,sesternica,bratranec,rođak,dvoyurodnyy brat,kuzyn,stryječny brat,dvoyuridnyy brat,pusbrolis,brālēns,unokatestvér,serkku,nõbu,kazan,chachera,kājina,bhatijā,culata bhā'ū athavā bahīṇa,cacērē bharā,bandhuvu,uṟaviṉar,sōdarasambandhi,pitarā'ī,pasar amu,pismam,amakʙaca,abn eamin,bin daud,yakisiti,binamu,dan uwa,ibatan,,kuzen,amakivachcha,kuzin,daýy,bölö - from mother side,üyeel,biǎo gē,itoko,sachon,anh em họ,sepupu,pinsan,sepupu,lūkphī̀lūkn̂xng,,,,
,Yes,ya,,,Jes,Ja,Ja,Ja,Ja,Ja,Oui,Sí,Sí,Si,Sim,SÌ,da,po,Tá,Oes,Naí,ja,Da,Da,da,Da,Áno,Ano,da,Da,Tak,tak,Tak,Taip,Jā,Igen,Joo,Jah,ha,haan/ji,hyām̐,hō,hōya,hāṁ,avunu,ām,haudu,hā,belleh,Erê,Bale,naeam,kin,āwo,Ndiyo,Ee,Bẹẹni,,Evet,Ha,ia,Hawa,Ooba,Tiimee,shì de,hai,ye,Đúng,Ya,Oo,ya wis,chı̀,,,,
,No,no,"Na- 1626
Ni - 144
No - 2358
nye - less",,Ne,NEIN,Nee,Nej,Ingen,Nei,Non,No,No,Non,Não,NO,Nu,Nr,Níl,Nac ydw,Ochi,št,br,Ne,Ne,br,Nie,Ne,Ne,Net,NIE,niama,Nemaye,Nr,Nē,Nem,Ei,Ei,nah,nahin,nā,chaina,nāhī,na,naṁ,illai,saṁ,nā,nah,Na,Ne,la,lo,āyi,Hapana,A'a,Rara,,HAYIR,Yo'q,zhok,.Ok,Jok,Ügüi,bù,iie,aniyo,KHÔNG,TIDAK,Hindi,Ora,lek̄h thī̀,,,,
,white,,"blanc
bel",,blanka,Weiß,wit,vit,hvid,hvit,blanc,blanc,blanco,branco,branco,bianco,alb,të bardhë,bán,Gwyn,áspro,bela,bijela,bijela,byalo,belo,biely,bílý,beo,belyy,biały,biely,bilyy,baltas,balts,fehér,valkoinen,valge,achho,safed,sādā,sētō,pāṇḍharā,ciṭā,telupu,veḷḷai,biḷi,saphēda,sefid,Spî,safed,abyad,laban,nech’i,nyeupe,fari,funfun,,beyaz,oq,ak,ak,ak,tsagaan,báisè de,shiroi,hayansaeg,trắng,putih,puti,putih,s̄ī k̄hāw,,,,
,black,,"kal/r
chern",,nigra,Schwarz,zwart,svart,sort,svart,noir,negre,negro,negro,preto,nero,negru,e zezë,dubh,du,mávros,Črna,crna,crno,cheren,crna,čierna,Černá,crn,chernyy,czarny,čorny,chornyy,juodas,melns,fekete,musta,must,karo,kaala,kālō,kālō,kāḷā,kālā,nalupu,karuppu,kappu,kāḷō,siyah,reş,sijoh,aswad,shachor,t’ik’uri,nyeusi,baki,dudu,,siyah,qora,kara,gara,kara,khar,hēisè de,kuroi,geom-eunsaeg,đen,hitam,itim,ireng,s̄īdả,,,,
,red,Rula?,,,ruĝa,Rot,rood,röd,rød,rød,rouge,vermell,rojo,vermello,vermelho,rosso,roșu,e kuqe,dearg,Coch,to kókkino,rdeča,crvena,Crvena,cherven,crveno,červená,Červené,crvena,krasnyy,czerwony,čyrvony,chervonyy,raudona,sarkans,piros,punainen,punane,sarkh,laal,lāla,rātō,lāla,lāla,erupu,civappu,kempu,lāla,qarmaz,sor,surx,ahmar,idaeus,k’eyi,nyekundu,ja,pupa,,kırmızı,qizil,kyzyl,gyzyl,kızıl,ulaan,hóngsè de,akai,ppalgansaeg,màu đỏ,merah,pula,abang,s̄ī dæng,,,,
,blue,blu,blu,,blua,Blau,blauw,blå,blå,blå,bleu,blau,azul,azul,azul,blu,albastru,blu,gorm,glas,ble,modra,plava,plava,sin,sina boja,Modrá,modrý,Plavi,siniy,niebieski,blakitny,blakytnyy,mėlyna,zils,kék,sininen,sinine,neero,neela,nīla,nīlō,niḷā,nīlā,nīlaṁ,nīlam,nīli,vādaḷī,abi,şîn,kaʙud,azraq,quail,semayawī,bluu,blue,buluu,,mavi,ko'k,kok,gök,kök,tsenkher,lán sè de,aoi,palansaeg,màu xanh da trời,biru,asul,biru,s̄ī f̂ā,,,,
,green,,"verd
zelen",,verda,Grün,groente,grön,grøn,grønn,vert,verd,verde,verde,verde,verde,verde,jeshile,glas,gwyrdd,prásinos,zelena,zeleno,zelena,zeleno,zelena,zelená,zelená,zelen,zelenyy,zielony,zialiony,zelenyy,žalias,zaļš,zöld,vihreä,roheline,sabze,hara,sabuja,hariyō,hiravā,harā,ākupacca,paccai,hasiru,līlā,sabz,kesk,saʙz,akhdar,yarok,ārenigwadē,kijani,kore,alawọ ewe,,yeşil,yashil,zhasyl,ýaşyl,jaşıl,nogoon,lǜsè de,midori,nogsaeg,màu xanh lá,hijau,berde,ijo,s̄ī k̄heīyw,,,,
,home,Hom,"H start - 
M end
C Start",,hejmen,heim,thuis,Hem,hjem,hjem,maison,casa,hogar,casa,lar,casa,Acasă,shtëpi,abhaile,cartref,Spíti,domov,Dom,Dom,U doma,doma,Domov,Domov,kuća,dom,dom,dadomu,dodomu,namai,mājas,itthon,Koti,Kodu,ghar,ghar,bāṛi,ghara,mukhyapr̥ṣṭha,ghara,illu,vīṭu,mane,ghara,khaneh,mal,xona,bayt,habita,bēti,nyumbani,gida,ile,,Ev,uy,uyge,öý,üy,ger,jiā,ie,jib,trang chủ,rumah,bahay,ngarep,b̂ān,,,,
,chair,Kursī,"chai- 1700
stul - 539
kursi- 2138",,seĝo,Stuhl,stoel,stol,stol,stol,chaise,cadira,silla,cadeira,cadeira,sedia,scaun,karrige,cathaoir,cadair,karékla,stol,stolica,stolica,Predsedatel,stolče,stolička,židle,stolica,stul,krzesło,kresla,stiletsʹ,kėdė,krēsls,szék,tuoli,tool,kursi,kursee,cēẏāra,kursī,khurcī,kurasī,kurcī,nāṟkāli,kurci,khuraśī,sandali,kursî,kursī,kursiun,chairs,weniberi,mwenyekiti,kujera,alaga,,sandalye,stul,kreslo,oturgyç,oturguç,sandal,yǐzi,isu,uija,cái ghế,kursi,upuan,kursi,kêāxī̂,,,,
,bed,,,,lito,Bett,bed,säng,seng,seng,lit,llit,cama,cama,cama,letto,pat,shtrat,leaba,gwely,kreváti,postelja,krevet,krevet,leglo,krevet,posteľ,postel,krevet,krovat',łóżko,ložak,lizhko,lova,gulta,ágy,sänky,voodi,bastro,bistar,bichānā,ōchyāna,palaṅga,bisatarā,maṁ caṁ,paṭukkai,hāsige,pathārī,takht,nivîn,kat,sarir,mite,āliga,kitanda,gado,ibusun,,yatak,yotoq,tusik,düşek,kerebet,or,chuáng,Beddo,chimdae,giường,tempat tidur,kama,kasur,teīyng,,,,
,table,,"ṭēbal
tébal",,tablo,Tisch,tafel,tabell,bord,bord,tableau,taula,mesa,táboa,mesa,tavolo,masa,tabela,tábla,bwrdd,trapézi,tabela,sto,stol,masa,masa,tabuľky,stůl,sto,stol,tabela,stol,stil,stalo,tabula,asztal,pöytä,laud,jadool,mez,ṭēbila,tālikā,ṭēbala,ṭēbala,paṭṭika,mēcai,ṭēbal,ṭēbala,jadol,mase,çadval,tawila,shulhhan,t’erep’ēza,meza,tebur,tabili,,masa,stol,keste,tablisa,stol,shiree,zhuōzi,Tēburu,teibeul,bàn,meja,mesa,meja,tóa,,,,
,people,,all over,,homoj,Menschen,mensen,människor,mennesker,mennesker,personnes,gent,gente,persoas,pessoas,persone,oameni,njerëzit,daoine,pobl,Anthropoi,ljudi,ljudi,narod,khorata,luǵe,ľudí,lidé,ljudi,lyudi,ludzie,liudziej,Lyudy,žmonių,cilvēkiem,emberek,ihmiset,inimesed,manho,log,mānuṣa,mānisaharū,lōka,lōka,prajalu,makkaḷ,janaru,lōkō,mardam,gel,odamon,alnaas,humans,sewochi,watu,mutane,eniyan,,insanlar,odamlar,adamdar,adamlar,adamdar,khümüüs,rénmen,hito,salamdeul,mọi người,rakyat,mga tao,wong,prachākr,,,,
,school,,шkola,shkola,lernejo,Schule,school,skola,skole,skole,école,escola,escuela,escola,escola,scuola,şcoală,shkolla,scoil,ysgol,scholeío,šola,škola,škola,uchilishte,učilište,školy,škola,škola,shkola,szkoła,škola,shkola,mokykla,skola,iskola,koulu,kool,school,vidyaalay,bidyālaẏa,vidyālaya,śāḷā,vidi'ālā,pāṭhaśāla,paḷḷi,śāle,śāḷā,madrassah,dibistan,maktaʙ,madrasa,bet sefer,timihiriti bēti,shule,makaranta,ile-iwe,,okul,maktab,mektep,mekdebi,mektep,surguuli,xuéxiào,gakko,haggyo,trường học,sekolah,paaralan,sekolah,rongreīyn,,,,
,work,Kam,"traba - 1B
Ka - 1B++, Kam most common",,laboro,arbeiten,werk,arbete,arbejde,arbeid,travail,treball,trabajar,traballo,trabalhar,lavoro,muncă,puna,oibre,gwaith,douleiá,delo,rad,raditi,rabota,rabota,práca,práce,rad,rabota,praca,praca,pratsyuvaty,dirbti,strādāt,munka,tehdä työtä,tööd,kum,kaam,kāja,kāma,kāma,kama,pani,vēlai,kelasa,kāma,kar,kar,kor,eamil,abodah,šira,kazi,aiki,ṣiṣẹ,,iş,ish,zumys,işlemek,iş,ajil,gōngzuò,shigoto,ilhada,công việc,bekerja,trabaho,kerja,ngān,,,,
,Apple,Apel,,,pomo,Apfel,Appel,Äpple,Æble,eple,Pomme,poma,Manzana,Apple,Maçã,Mela,Măr,Apple,Úll,Afal,mílo,Apple,Apple,Jabuka,Yabŭlka,jabolko,Apple,Jablko,Apple,Yabloko,Jabłko,jablyk,Yabluko,Apple,Apple,alma,Omena,Apple,apple,seb,āpēla,syā'ū,sapharacanda,sēba,āpil,āppiḷ,āpal,ēpala,apal,Sêv,seʙ,tufaahatan,tafuh,āpili,Apple,Apple,Apu,,Elma,olma,almah,Apple,Apple,alim,píngguǒ,ringo,sagwa,Quả táo,apel,Apple,Apple,xæppeil,,,,
,Banana,Banan,"almost all EU, some India, most Turkic",,Banano,Banane,Banaan,Banan,Banan,Banan,Banane,Plàtan,Banana,Plátano,Banana,Banana,Banană,Banane,Banana,Banana,Banána,Banana,Banana,Banana,banan,Banana,Banán,Banán,Banana,Banan,Banan,Banan,Banan,Bananas,Banāns,Banán,Banaani,Banaan,kela,kela,kalā,kērā,kēḷī,kēlā,araṭipaṇḍu,vāḻai,bāḷehaṇṇu,banānā,mose,Mûz,Banan,mawz,benanne,muzi,Ndizi,Ayaba,Ogede,,Muz,Banan,banan,Banan,Banan,Banan,xiāngjiāo,banana,banana,Chuối,pisang,saging,gedhang,kl̂wy,,,,
,Grape,Angur,"EU doesnt agree, Most Aryan does",,Vinbero,Traube,Druif,Druva,Drue,Drue,Raisin,Raïm,Uva,Uva,Uva,Uva,Strugurii,Rrushi,Fíonchaor,Grawnwin,Stafýli,Grozdje,Grejp,Grožđe,Grozdov,Grozje,Hrozno,Hroznová,Grožđa,Vinograd,Winogrono,Vinahradny,vynohrad,Vynuogė,Vīnogas,Szőlő,Rypäle,Viinamari,Grape,angoor,āṅgura,aṅgūra,drākṣa,agūra,drākṣa,tirāṭcai,drākṣi,drākṣa,angor,Tirî,Angur,einab,anaba,weyini,Zabibu,Inabi,àjàrà,,Üzüm,Uzum,zhuzim,Üzüm,Jüzüm,Usan üzem,pútáo,budou,podo,Quả nho,Anggur,Ubas,Anggur,xngùn,,,,
,Pear,Pera,,,Piro,Birne,Peer,Päron,Pære,Pære,Poire,Pera,Pera,Pera,Pera,Pera,Pară,Dardhë,Piorra,Gellygen,Achládi,hruška,Kruška,Kruška,Krusha,Kruša,Hruška,Hruška,Kruška,Grusha,Gruszka,Hruša,hrusha,Kriaušė,Bumbieris,Körte,Päärynä,Pirn,Pear,naashapaatee,Nāśapāti,Nāśapātī,Nāśapātī,Nāśapātī,Piyar,Pērikkāy,Piyar,Pi'ara,golabi,Hirmî,Nok,kummathraa,agas,pīri,Peari,Pear,Eso pia,,Armut,Nok,Almurt,Armut,Almurut,Liir,Lí,nashi,bae,Quả lê,Pir,peras,woh pir,Lūk phær̒,,,,
,melon,Melon,,,melono,Melone,meloen,melon,melon,melon,melon,meló,melón,melón,Melão,melone,pepene,pjepër,melon,melon,pepóni,melona,dinja,dinja,pŭpesh,dinja,melón,meloun,dinja,dynya,melon,dyni,dynya,melionas,melone,dinnye,meloni,melon,mellon,tarabooj,taramuja,kharabujā,kharabūja,tarabūja,puccakāya,mulāmpaḻam,kallaṅgaḍi,tarabūca,kharbazeh,kevz,xarʙuza,shamam,melon,ḥābiḥābi,Tikiti,kankana,melon,,kavun,qovun,qawın,gawun,koon,tarvas,guā,uri,mellon,dưa gang,melon,melon,melon,tængmo,,,,
